# id mol type
1 1 3
2 1 3
3 1 3
4 1 3
5 1 3
6 1 3
7 1 3
8 1 3
9 1 3
10 1 3
11 1 3
12 1 3
13 1 3
14 1 3
15 1 3
16 1 3
17 1 3
18 1 3
19 1 3
20 1 3
21 1 3
22 1 3
23 1 3
24 1 3
25 1 3
26 1 3
27 1 3
28 1 3
29 1 3
30 1 3
31 1 3
32 1 3
33 1 3
34 1 3
35 1 3
36 1 3
37 1 3
38 1 3
39 1 3
40 1 3
41 1 1
42 1 1
43 1 1
44 1 1
45 1 1
46 1 3
47 2 3
48 2 3
49 2 3
50 2 3
51 2 3
52 2 3
53 2 3
54 2 3
55 2 3
56 2 3
57 2 3
58 2 3
59 2 3
60 2 3
61 2 3
62 2 3
63 2 3
64 2 3
65 2 3
66 2 3
67 2 3
68 2 3
69 2 3
70 2 3
71 2 3
72 2 3
73 2 3
74 2 3
75 2 3
76 2 3
77 2 3
78 2 3
79 2 3
80 2 3
81 2 3
82 2 3
83 2 3
84 2 3
85 2 3
86 2 1
87 2 1
88 2 1
89 2 1
90 2 1
91 2 1
92 2 3
93 3 3
94 3 3
95 3 3
96 3 3
97 3 3
98 3 3
99 3 3
100 3 3
101 3 3
102 3 3
103 3 3
104 3 3
105 3 3
106 3 3
107 3 3
108 3 3
109 3 3
110 3 3
111 3 3
112 3 3
113 3 3
114 3 3
115 3 3
116 3 3
117 3 3
118 3 3
119 3 3
120 3 3
121 3 3
122 3 3
123 3 3
124 3 3
125 3 3
126 3 3
127 3 3
128 3 3
129 3 3
130 3 3
131 3 3
132 3 1
133 3 1
134 3 1
135 3 3
136 3 3
137 3 3
138 3 3
139 4 3
140 4 3
141 4 3
142 4 3
143 4 3
144 4 3
145 4 3
146 4 3
147 4 3
148 4 3
149 4 3
150 4 3
151 4 3
152 4 3
153 4 3
154 4 3
155 4 3
156 4 3
157 4 3
158 4 3
159 4 3
160 4 3
161 4 3
162 4 3
163 4 3
164 4 3
165 4 3
166 4 3
167 4 3
168 4 3
169 4 3
170 4 3
171 4 3
172 4 3
173 4 3
174 4 3
175 4 1
176 4 1
177 4 1
178 4 1
179 4 1
180 4 3
181 4 3
182 4 3
183 4 3
184 4 3
185 5 3
186 5 3
187 5 3
188 5 3
189 5 3
190 5 3
191 5 3
192 5 3
193 5 3
194 5 3
195 5 3
196 5 3
197 5 3
198 5 3
199 5 3
200 5 3
201 5 3
202 5 3
203 5 3
204 5 3
205 5 3
206 5 3
207 5 3
208 5 3
209 5 3
210 5 3
211 5 3
212 5 3
213 5 3
214 5 3
215 5 3
216 5 3
217 5 3
218 5 3
219 5 3
220 5 1
221 5 1
222 5 1
223 5 1
224 5 1
225 5 1
226 5 1
227 5 1
228 5 1
229 5 3
230 5 3
231 6 3
232 6 3
233 6 3
234 6 3
235 6 3
236 6 3
237 6 3
238 6 3
239 6 3
240 6 3
241 6 3
242 6 3
243 6 3
244 6 3
245 6 3
246 6 3
247 6 3
248 6 3
249 6 3
250 6 3
251 6 3
252 6 3
253 6 3
254 6 3
255 6 3
256 6 3
257 6 3
258 6 3
259 6 3
260 6 3
261 6 3
262 6 3
263 6 3
264 6 3
265 6 3
266 6 3
267 6 3
268 6 3
269 6 1
270 6 1
271 6 1
272 6 1
273 6 3
